id,title,description,url,img_url,publishing_date,publisher
10,Bilim insanlarından yeni teknolojik atılım: 'Dünya benzeri gezegenler keşfedilebilir',Bilim insanlarının yeni bir teknolojik atılım yapmasının ardından yakında Dünya benzeri yeni gezegenler keşfedilebileceği belirtildi.,https://www.cumhuriyet.com.tr/dunya/bilim-insanlarindan-yeni-teknolojik-atilim-dunya-benzeri-gezegenler-2191039?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/29/2191039/kapak_102611.jpg,2024-03-29 10:26:15+03:00,cumhuriyet
11,TDB Genel Başkanı İşmen: ‘Türkiye’nin ağız ve diş sağlığı karnesi kötü’ - Son Dakika Sağlık Haberleri,"Türkiye’nin ağız ve diş sağlığı konusunda kötü bir karneye sahip olduğunu belirten Türk Diş Hekimleri Birliği (TDB) Genel Başkanı Tarık İşmen, “aile diş hekimliği” uygulamasının yaygınlaştırılması gerektiğini kaydetti.",https://www.cumhuriyet.com.tr/saglik/tdb-genel-baskani-ismen-turkiyenin-agiz-ve-dis-sagligi-karnesi-kotu-2188203?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/21/2188203/kapak_105804.jpeg,2024-03-21 10:58:09+03:00,cumhuriyet
12,Bir marka daha elektrikliye geçişte frene bastı: O marka 2033 yılına kadar elektrikli otomobil üretmeyecek!,"Bentley, başlangıçta planlandığı gibi 2030 değil, 2033 yılına kadar saf bir EV üreticisi olmak istemiyor. Otomobil üreticisi, o zamana kadar en önemli tahrik türü olacak fişli hibritlere (PHEV) yüz milyonlarca dolar  daha fazla yatırım yapmayı planlıyor.",https://www.cumhuriyet.com.tr/otomotiv/bir-marka-daha-elektrikliye-geciste-frene-basti-o-marka-2033-yilina-2188745?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/22/2188745/kapak_162016.jpeg,2024-03-22 16:20:20+03:00,cumhuriyet
13,TİP’ten Foça’daki ağaç kıyımına suç duyurusu,"Türkiye İşçi Partisi (TİP) Foça İlçe örgütü Mersinaki Caddesi boyunca yapılan vahşi ağaç budamaları hakkında Foça Cumhuriyet Başsavcılığına suç duyurusunda bulundu. TİP Foça Belediye Başkan Adayı Oylun Ercan, “Yaptığımız inceleme ve bilgisine başvurduğumuz uzmanlarca söz konusu budama ağaç kıyımı olarak nitelendirilmiştir” dedi.",https://www.cumhuriyet.com.tr/cevre/tipten-focadaki-agac-kiyimina-suc-duyurusu-2184827?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/12/2184827/kapak_122801.jpg,2024-03-12 13:52:22+03:00,cumhuriyet
14,Dr. Erhan Karaesmen yazdı... Afetlere karşı toplum eğitilmeli,"KONUK YAZAR | Dr. Erhan Karaesmen, Cumhuriyet için yazdı...",https://www.cumhuriyet.com.tr/yazi-dizileri/dr-erhan-karaesmen-yazdi-afetlere-karsi-toplum-egitilmeli-2062241?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2023/3/17/2062241/kapak_234759.jpg,2023-03-18 04:00:00+03:00,cumhuriyet
15,İzmir Kısa Film Festivali’nde finalistler belli oldu,İzmir’in en uzun soluklu sinema organizasyonu olan İzmir Kısa Film Festivali’nde finalist kısa filmler belli oldu. Beş  kategoride 38 kısa film yarışacağı 24. İzmir Kısa Film Festivali’nde filmler Akademi Ödüllerine (OSCAR) başvuru şansı yakalayacak. Ayrıca festival kapsamında genç yönetmenlere de sürdürülebilir film eğitimi konusunda atölyeler düzenlenecek.,https://www.cumhuriyet.com.tr/kultur-sanat/izmir-kisa-film-festivalinde-finalistler-belli-oldu-2133155?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2023/10/23/2133155/kapak_141959.jpg,2023-10-23 14:20:17+03:00,cumhuriyet
16,Moskova'daki terör saldırısına ilişkin tutuklu sayısı 9'a çıktı,Rusya'nın başkenti Moskova'daki Crocus City Hall konser salonunda düzenlenen terör saldırısıyla ilgili tutuklu sayısı 9'a yükseldi.,https://www.cumhuriyet.com.tr/dunya/moskovadaki-teror-saldirisina-iliskin-tutuklu-sayisi-9a-cikti-2191302?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/29/2191302/kapak_184209.jpg,2024-03-29 18:42:17+03:00,cumhuriyet
17,Dodik meydan okudu: Mücadelede yeni bir aşamaya başlıyorum,"Bosna Hersek'teki iki entiteden Sırp Cumhuriyeti'nin (RS) Başkanı Milorad Dodik, RS için siyasi mücadelede yeni bir aşamaya başladığını söyledi.",https://www.cumhuriyet.com.tr/dunya/dodik-meydan-okudu-mucadelede-yeni-bir-asamaya-basliyorum-2190977?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/29/2190977/kapak_092445.jpg,2024-03-29 09:24:49+03:00,cumhuriyet
18,Hülya-Özdemir Nutku Uluslararası İzmir Tiyatro Festivali başlıyor,"İzmir Büyükşehir Belediyesi’nin bu yıl 42. kez düzenlediği Hülya-Özdemir Nutku Uluslararası İzmir Tiyatro Festivali 13 Mart Çarşamba günü başlıyor. 27 Mart Dünya Tiyatrolar Günü’ne kadar sürecek festivalde yerel ve ulusal tiyatro gruplarının yanı sıra Almanya, Yunanistan, Lübnan ve Sırbistan’dan gelen tiyatro grupları da İzmirlilerle buluşacak.",https://www.cumhuriyet.com.tr/kultur-sanat/hulya-ozdemir-nutku-uluslararasi-izmir-tiyatro-festivali-basliyor-2184840?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/12/2184840/kapak_124156.jpg,2024-03-12 12:43:42+03:00,cumhuriyet
19,'Cehennem Kapıları'nda gizemli yapılar keşfedildi,"Suudi Arabistan'ın en büyüklerinden biri olan volkanik alan, Medine şehrinin kuzeydoğusundaki çöl manzarası boyunca yaklaşık 14.000 kilometrekarelik bir alana yayılıyor. Bu alanda çalışmalarını sürdüren arkeologlar yeni yapılar keşfetti...",https://www.cumhuriyet.com.tr/yasam/cehennem-kapilarinda-gizemli-yapilar-kesfedildi-2191196?utm_source=Anasayfa&utm_campaign=Cumhuriyet&utm_medium=Kesfet,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/3/29/2191196/kapak_151636.jpg,2024-03-29 15:16:44+03:00,cumhuriyet
