title,description,url,img_url,publication_date,publisher
Hakan Çalhanoğlu'ndan Galatasaray sorusuna çarpıcı yanıt: 'Tüm hedefim...',"İtalya 1. Futbol Ligi (Serie A) ekibi Inter forması giyen milli oyuncu Hakan Çalhanoğlu, basın mensuplarına konuştu. Hakan Çalhanoğlu, Kendini Galatasaray forması giyerken hayal ediyor musun? sorusuna, Dürüst olmam gerekirse hayır. Avrupa'da oynamayı seviyorum yanıtını verdi.",https://www.cumhuriyet.com.tr/spor/hakan-calhanoglundan-galatasaray-sorusuna-carpici-yanit-tum-2195487?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195487/kapak_093159.jpg,2024-04-12 09:32:17+03:00,cumhuriyet
CHP’li Günaydın araştırma sonuçlarını paylaştı: ‘AKP seçmeni CHP’ye oy verdi’,"CHP Grup Başkanvekili Gökhan Günaydın, “Seçimlerden sonra bir efsane üretildi: ‘AKP seçmeni partisini cezalandırmak için sandığa gitmedi, bu geçici bir durumdur.’ İletimin ekine iliştirdiğim araştırma ve video tersini ortaya koyuyor” diyerek bir araştırma ve sokak röportajı paylaştı.",https://www.cumhuriyet.com.tr/turkiye/chpli-gunaydin-arastirma-sonuclarini-paylasti-akp-secmeni-chpye-oy-2195486?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195486/kapak_092426.jpg,2024-04-12 09:24:32+03:00,cumhuriyet
Orkun Kökçü'nün takımı Benfica kendi evinde tur kapısını araladı!,"Milli futbolcu Orkun Kökçü'nün formasını giydiği Benfica, UEFA Avrupa Ligi çeyrek final ilk maçında kendi sahasında ağırladığı Marsilya'yı 2-1 mağlup etti.",https://www.cumhuriyet.com.tr/spor/orkun-kokcunun-takimi-benfica-kendi-evinde-tur-kapisini-araladi-2195484?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195484/kapak_092142.jpg,2024-04-12 09:21:47+03:00,cumhuriyet
Roma deplasmanda avantajı kaptı: Milan'a evinde şok!,"Milli oyuncu Zeki Çelik'in formasını giydiği Roma, UEFA Avrupa Ligi çeyrek final ilk maçında deplasmanda karşılaştığı Milan'ı 1-0 mağlup etti.",https://www.cumhuriyet.com.tr/spor/roma-deplasmanda-avantaji-kapti-milana-evinde-sok-2195483?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195483/kapak_091657.jpg,2024-04-12 09:17:04+03:00,cumhuriyet
Liverpool'a evinde büyük darbe: Atalanta tur için avantajı aldı!,"Liverpool, UEFA Avrupa Ligi çeyrek final ilk maçında kendi sahasında ağırladığı Atalanta'ya 3-0 mağlup oldu.",https://www.cumhuriyet.com.tr/spor/liverpoola-evinde-buyuk-darbe-atalanta-tur-icin-avantaji-aldi-2195482?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195482/kapak_091253.jpg,2024-04-12 09:13:06+03:00,cumhuriyet
"İGA, CHP'ye geçen Bursa Büyükşehir Belediyesi ile olan sözleşmesini sonlandıracak","İstanbul Havalimanı'nın işletmecisi İGA, Bursa Büyükşehir Belediyesi ile olan sözleşmesini sonlandırma kararı aldı.",https://www.cumhuriyet.com.tr/siyaset/iga-chpye-gecen-bursa-buyuksehir-belediyesi-ile-olan-sozlesmesini-2195477?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195477/kapak_090154.jpg,2024-04-12 09:02:03+03:00,cumhuriyet
"İngiltere, 150 yıl önce yağmalanan Asante mücevherlerini Gana'ya iade etti","İngiliz askerler tarafından 150 yıl önceki savaşta yağmalanan, bugünkü Gana sınırlarındaki Asante Krallığı'na ait mücevherler, İngiltere'deki müzeler tarafından Gana'ya iade edildi.",https://www.cumhuriyet.com.tr/dunya/ingiltere-150-yil-once-yagmalanan-asante-mucevherlerini-ganaya-iade-2195462?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195462/kapak_071557.jpg,2024-04-12 07:16:01+03:00,cumhuriyet
ABD ile Japonya arasındaki iş birliği anlaşmaları neleri kapsıyor?,"ABD Başkanı Joe Biden ve Japonya Başbakanı Fumio Kishida, Çin'den gelebilecek olası bir tehdit karşısında askeri işbirliğini güçlendirme kararı aldı. İki ülke başka alanlarda da işbirliği anlaşmaları yaptı.",https://www.cumhuriyet.com.tr/dunya/abd-ile-japonya-arasindaki-is-birligi-anlasmalari-neleri-kapsiyor-2195461?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195461/kapak_071133.jpg,2024-04-12 07:13:14+03:00,cumhuriyet
Hindistan sandık başına gidiyor: 'Dünyanın en büyük seçimi' hakkında neler biliyoruz?,"Hindistan 2024 genel seçimleri için 19 Nisan'da sandık başına gidecek. Ancak bu seçim bir gün değil, tam altı hafta sürüyor. 1 Haziran'da tamamlanacak seçimler hakkında bilinenleri derledik.",https://www.cumhuriyet.com.tr/dunya/hindistan-sandik-basina-gidiyor-dunyanin-en-buyuk-secimi-hakkinda-2195460?utm_medium=KategoriSayfasi&utm_source=KategoriSayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195460/kapak_071016.jpg,2024-04-12 07:10:21+03:00,cumhuriyet
"Rusya, Kiev yakınlarındaki en büyük elektrik santralini füzelerle vurdu","Ukrayna'nın başkenti Kiev'in 50 kilometre güneyindeki Tripilya elektrik santrali, birden çok Rus füzesi ve İHA'larla vuruldu. Santrali işleten enerji şirketi Centrenergo, santralin Başkent Kiev dahil üç bölgenin en büyük elektrik kaynağı olduğunu açıkladı.",https://www.cumhuriyet.com.tr/dunya/rusya-kiev-yakinlarindaki-en-buyuk-elektrik-santralini-fuzelerle-vurdu-2195459?utm_medium=Kategori%20Sayfasi&utm_source=Cumhuriyet&utm_campaign=Kategori%20Sayfasi,https://www.cumhuriyet.com.tr/thumbs/1520x900/Archive/2024/4/12/2195459/kapak_070812.jpg,2024-04-12 07:08:16+03:00,cumhuriyet
